net,length_um
net911,1377.1
net450,1098.63
net726,1031.745
net451,1003.32
net328,972.48
net70,963.22
net79,944.04
net82,910.535
net93,903.17
net481,884.11
net68,871.98
net327,864.2
net943,841.425
net74,836.22
net452,828.85
net77,828.41
net905,826.11
net104,819.98
net902,816.34
net83,816.22
net946,799.385
net934,792.39
_05532_,791.15
_05533_,788.82
net901,788.36
net120,786.35
net101,786.17
net125,784.66
_05534_,781.22
net325,778.66
net122,775.625
net907,771.88
net106,762.255
net195,760.8
net67,754.61
_03907_,751.5
net76,750.39
net899,748.12
net34,745.53
net784,742.74
net94,739.54
_00016_,736.25
_05459_,733.87
net130,733.41
net115,730.86
clknet_0_clk,727.01
net92,726.42
net103,726.02
net88,719.19
net119,716.88
_03921_,716.41
net769,714.69
net128,711.8
net109,711.04
net904,710.62
net223,709.31
net817,708.32
net99,707.29
net95,706.98
net105,697.86
net224,697.2
net944,695.145
_03918_,693.41
net72,688.88
net417,686.88
net938,686.795
net919,684.92
net415,682.13
net921,680.555
net91,678.55
_05529_,677.66
net903,670.505
net909,669.76
net459,664.31
net18,661.33
net78,657.69
net87,656.24
net337,655.44
net453,654.65
_05531_,653.35
net937,652.04
net759,652
_05524_,647.83
net405,646.35
net90,645.61
net425,642.59
net469,637.71
net371,637.39
net131,634.15
net117,631.72
net969,629.535
net326,629.44
net651,628.8
net114,628.6
net690,628.23
_03914_,626.79
net81,625.69
net211,622.56
net900,617.995
net102,617.9
net69,617.52
_05523_,616.16
net695,612.985
net213,611.45
net218,610.55
net202,607.16
_05537_,607.12
net341,604.66
net348,604.26
net220,603.985
_05536_,602.56
net444,600.65
_02682_,600.55
net189,600.5
_05526_,598.23
net977,597.715
net85,596.82
net614,596.6
net399,596.135
net906,595.71
net766,594.25
_01558_,593.86
net413,593.52
net180,592.92
net970,592.39
net215,590.795
net439,590.29
net217,588.6
net377,584.7
net391,583.29
net480,582.725
net71,579.11
net437,578.73
net133,578.1
net615,577.96
net111,575.48
net369,572.62
net655,568.18
net422,564.7
net193,563.5
net24,562.27
net23,559.1
net419,557.835
clknet_2_0_0_clk,557.52
net379,556.21
net461,555.61
net89,555.43
net978,554.995
net363,553.5
net345,552.56
clk,551.85
net112,550.4
net980,549.12
clknet_2_2_0_clk,548.74
net421,548.49
net86,547.31
net411,547.08
net455,546.51
net349,544.48
_03909_,542.79
net979,542.61
net357,541.87
clknet_2_3_0_clk,541.77
net761,541.72
_02601_,541.29
net3,540.36
net433,539.59
_03904_,539.08
net365,539.02
net123,538.35
_00007_,537.37
net457,536.84
net22,532.69
net5,530.72
net462,530.12
net4,529.7
net435,528.15
net929,527.205
clknet_2_1_0_clk,525.92
net17,524.95
net358,523.84
net204,523.06
net960,521.9
net205,520.79
net427,520.61
net409,516.76
net216,515.39
net764,514.31
net683,513.45
net407,513.18
_03920_,512.38
net936,512.13
net9,511.29
_01556_,510.655
net75,509.9
net955,508.64
net479,508.18
net98,506.96
net26,506.54
net19,505.85
net212,505.845
_03915_,505.66
net13,505.42
net353,504.03
net556,503.62
net443,498.29
net361,498.07
net441,496.77
net602,495.595
_03901_,495.55
net362,493.14
net948,492.42
net219,490.97
net985,490.4
net676,490.21
net339,490.205
net931,490.04
net222,489.36
net73,486.605
net410,484.83
net370,484.72
net513,482.775
net10,482.56
net932,480.855
_03910_,478.93
_03906_,477.45
net355,475.93
net359,475.15
net689,474.11
_04558_,472.56
net389,470.88
net458,470
net423,469.56
net397,469.13
net694,468.32
net456,468.19
net403,468.17
net648,465.98
net30,465.25
net29,464.24
net402,463.13
net964,463.01
net107,462.78
net686,462.075
net1006,461.51
net347,461.45
net650,461.25
net463,461.04
net558,460.48
net914,460.35
net124,460.02
net449,458.2
net8,456.94
net692,456.885
net84,456
net554,454.98
net401,454.79
net662,454.28
net132,453.94
net646,453.79
net428,452.32
net918,451.92
net988,450.9
net420,450.785
net408,450.26
net351,449.47
net442,446.98
net390,446.54
net387,444.28
net110,443.34
net612,443.34
net989,442.54
_05461_,442.34
net398,441.19
net957,441.11
net346,440.37
_05528_,438.89
net343,438.57
net7,438.35
net209,438.1
net227,436.53
_03908_,436.04
net15,435.925
net684,435.38
net916,433.73
net1039,433.1
net447,432.36
net20,431.57
net659,431.48
net373,430.585
net385,430.54
net386,430.23
net930,429.53
net80,427.82
_02800_,427.72
net940,426.62
net27,426.38
net703,423.7
_05525_,423.62
net700,422.43
net986,421.11
net652,419.34
net471,419.33
_03919_,419.02
net649,416.97
net688,416.87
net654,416.63
net33,416.57
decoded_imm\[21\],414.61
net367,413.115
net949,412.96
net691,412.86
net16,411.92
net381,411.74
net383,411.12
net917,410.77
net952,408.705
_03912_,408.32
net982,407.28
net896,407.17
_02766_,406.49
net765,406.01
net768,406.01
net987,404.15
net775,402.555
net674,400.3
net984,400
net898,399.92
decoded_imm\[14\],397.17
net375,396.255
net795,394.49
net950,393.44
net727,392.68
net395,392.36
_03916_,392.23
_01589_,392.02
net1094,390.27
_01587_,390.05
net393,389.4
net735,388.97
net915,388.17
net954,387.87
clknet_5_14__leaf_clk,387.525
net670,386.52
net956,386.08
net176,384.22
net566,384.06
net770,383.16
_02805_,382.82
net118,382.52
net198,382.18
net922,381.9
net675,381.75
decoded_imm\[15\],381.29
net445,381.21
_01546_,380.24
_02774_,380.21
net942,379.27
net6,378.32
net682,378.08
net188,377.97
net1002,377.69
net568,377.5
net127,376.78
net864,375.77
net923,370.68
net653,370.26
net810,369.73
net715,369.105
net464,368.68
net928,367.645
net191,367.21
net424,366.44
net983,366.06
net1,364.755
net660,363.89
net31,363.385
net28,361.7
net636,358.25
net966,358.04
net1087,357.92
net25,357.795
net32,357.76
net14,356.22
net21,355.75
net968,355.09
decoded_imm\[27\],352.16
decoded_imm\[18\],351.75
net927,351.49
net763,351.07
decoded_imm\[10\],350.32
net893,350.17
net11,349.34
net647,347.62
net416,346.24
net696,346.06
net656,345.64
net233,345.07
net1078,344.62
net707,344.24
_01648_,342.72
net1047,341.87
decoded_imm\[19\],341.51
net705,340.81
net1095,340.8
net519,339.97
net1017,339.22
_02699_,338.99
net1113,338.76
net972,338.08
decoded_imm\[17\],336.1
decoded_imm\[30\],336
net673,335.36
